tokens,tags,polarities
"['emergency', 'equipment', 'was', 'typical']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['consistent', 'cool', 'temperature', 'was', 'nice']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['toilets', 'lacked', 'basic', 'hygiene', 'supplies']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['wifi', 'was', 'fast', 'and', 'reliable']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['seat', 'fabric', 'felt', 'itchy', 'cheap']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['emergency', 'door', 'was', 'partially', 'obstructed']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['old', 'escalator', 'made', 'strange', 'noises']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['automated', 'responses', 'are', 'not', 'helpful']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['windows', 'were', 'clean', 'good', 'views']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['station', 'toilets', 'were', 'sparkling', 'and', 'fresh']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['no', 'gum', 'stuck', 'under', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['clearly', 'audible', 'safety', 'warnings', 'played']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['toilet', 'area', 'was', 'quite', 'unhygienic']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'dusty', 'surfaces', 'found', 'anywhere']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['station', 'felt', 'very', 'well', 'policed']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['people', 'ignored', 'safety', 'yellow', 'lines']","[1, 0, 0, 1, 2]","[0, -1, -1, 0, 0]"
"['attendant', 'was', 'unfriendly', 'and', 'not', 'helpful']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['lifts', 'were', 'often', 'out', 'of', 'order']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['air', 'inside', 'felt', 'clean', 'circulated']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['floor', 'tiles', 'were', 'loose', 'hazardous']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['suspicious', 'package', 'left', 'unattended', '.']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['timely', 'updates', 'on', 'all', 'service', 'changes']","[1, 2, 0, 0, 1, 2]","[2, 2, -1, -1, 2, 2]"
"['smelled', 'generically', 'of', 'public', 'transport']","[0, 0, 0, 1, 2]","[1, -1, -1, 1, 1]"
"['seat', 'width', 'was', 'perfectly', 'fine']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['carriage', 'temperature', 'was', 'fluctuating', 'wildly']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['one', 'escalator', 'always', 'seems', 'broken']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['security', 'personnel', 'are', 'very', 'alert']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['service', 'desk', 'staff', 'were', 'clueless']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['smelled', 'like', 'fresh', 'flowers', 'somewhere', 'near']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['no', 'streaks', 'on', 'any', 'windows']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['no', 'charging', 'ports', 'to', 'find']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['well', 'marked', 'emergency', 'escape', 'routes']","[0, 0, 1, 2, 2]","[-1, -1, 2, 2, 2]"
"['safety', 'signs', 'were', 'large', 'and', 'graphic']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['staff', 'were', 'efficient', 'at', 'managing', 'incidents']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['restroom', 'doors', 'did', 'not', 'lock', 'properly']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['no', 'designated', 'area', 'for', 'prams']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['no', 'fingerprints', 'on', 'glass', 'panels']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['guard', 'walked', 'by', 'once', 'in', 'a', 'while']","[1, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1]"
"['terrible', 'service', 'at', 'ticket', 'booth']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['prayer', 'facility', 'was', 'peaceful', 'clean']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['clear', 'signage', 'for', 'restricted', 'areas']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['ample', 'room', 'to', 'move', 'around', 'freely']","[1, 2, 0, 0, 1, 2]","[2, 2, -1, -1, 2, 2]"
"['no', 'dedicated', 'family', 'restrooms', 'available']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['no', 'dedicated', 'restrooms', 'available']","[0, 1, 2, 0]","[-1, 0, 0, -1]"
"['no', 'space', 'for', 'large', 'suitcases']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['info', 'desk', 'staff', 'were', 'very', 'competent']","[1, 2, 2, 0, 0, 0]","[2, 2, 2, -1, -1, -1]"
"['seat', 'design', 'was', 'modern', 'comfortable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['too', 'much', 'ambient', 'train', 'noise']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['aircond', 'vents', 'were', 'blowing', 'warm', 'air']","[1, 2, 0, 0, 0, 1]","[0, 0, -1, -1, -1, 0]"
"['no', 'acknowledgement', 'from', 'any', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['felt', 'a', 'bit', 'too', 'warm']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['smelled', 'like', 'damp', 'cloths', 'were', 'used']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['service', 'quality', 'was', 'truly', 'outstanding']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['not', 'many', 'vertical', 'poles', 'to', 'hold']","[0, 0, 1, 2, 0, 0]","[-1, -1, 0, 0, -1, -1]"
"['no', 'power', 'outlets', 'for', 'passengers']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['ticket', 'machine', 'worked', 'as', 'expected']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['wifi', 'connection', 'kept', 'dropping', 'out']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['rubbish', 'strewn', 'across', 'the', 'platform']","[1, 0, 0, 0, 1]","[0, -1, -1, -1, 0]"
"['seat', 'design', 'was', 'quite', 'uncomfortable']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['exceptional', 'care', 'taken', 'by', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['excellent', 'cleanliness', 'standards', 'observed', '.']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['found', 'a', 'few', 'food', 'crumbs', 'on', 'seat']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 1]"
"['lighting', 'levels', 'were', 'adequate', 'everywhere']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['digital', 'route', 'maps', 'are', 'helpful']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['felt', 'safe', 'from', 'any', 'harassment']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['service', 'desk', 'staff', 'seemed', 'untrained']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['train', 'was', 'too', 'hot', 'inside']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['hard', 'to', 'maintain', 'balance', 'when', 'moving']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 0, -1, -1]"
"['emergency', 'call', 'points', 'are', 'visible']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['secure', 'and', 'reliable', 'door', 'mechanisms']","[0, 0, 0, 1, 2]","[2, -1, -1, 2, 2]"
"['station', 'personnel', 'were', 'always', 'very', 'polite']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['train', 'was', 'not', 'cleaned', 'since', 'morning']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['vending', 'machines', 'were', 'functional']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['found', 'a', 'few', 'food', 'crumbs', 'on', 'seat']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 1]"
"['parking', 'facility', 'was', 'well', 'lit']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['automated', 'ticketing', 'system', 'was', 'a', 'nightmare']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['overall', 'carriage', 'hygiene', 'was', 'lacking']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['carriage', 'hygiene', 'was', 'lacking']","[1, 2, 0, 0]","[0, 0, -1, -1]"
"['no', 'concerns', 'with', 'safety']","[0, 0, 0, 1]","[-1, -1, -1, 1]"
"['signage', 'to', 'help', 'desk', 'unclear']","[1, 0, 1, 2, 0]","[0, -1, 0, 0, -1]"
"['language', 'was', 'often', 'a', 'service', 'problem']","[1, 0, 0, 0, 1, 2]","[0, -1, -1, -1, 0, 0]"
"['lifts', 'were', 'quick', 'and', 'available']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['no', 'sticky', 'patches', 'on', 'floor']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['public', 'announcement', 'speakers', 'were', 'loud']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['platform', 'was', 'free', 'from', 'all', 'rubbish']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['waiting', 'hall', 'needed', 'more', 'benches']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['toilets', 'lacked', 'basic', 'hygiene', 'supplies']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['waiting', 'zones', 'had', 'comfortable', 'seating']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'lingering', 'stale', 'air', 'in', 'carriages']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
"['ticket', 'barriers', 'worked', 'very', 'smoothly']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['visible', 'need', 'for', 'better', 'cleaning', 'staff']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['seats', 'were', 'surprisingly', 'ergonomic', 'nice']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['customer', 'support', 'line', 'was', 'useless']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['no', 'water', 'bottle', 'refill', 'points']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['carriage', 'air', 'was', 'stale', 'warm']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['neutral', 'on', 'the', 'security', 'measures']","[0, 0, 0, 1, 0]","[-1, -1, -1, 1, -1]"
"['staff', 'provided', 'clear', 'helpful', 'guidance']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['some', 'food', 'packaging', 'stuffed', 'in', 'seats']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['ticket', 'assistance', 'was', 'great']","[1, 2, 0, 0]","[2, 2, -1, -1]"
"['quick', 'ticket', 'assistance', 'was', 'great']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['train', 'had', 'a', 'damp', 'smell']","[1, 0, 0, 0, 1]","[0, -1, -1, -1, 0]"
"['loved', 'the', 'panoramic', 'window', 'view']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'visible', 'dirt', 'on', 'the', 'stairs']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['pristine', 'condition', 'of', 'all', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['no', 'dirt', 'in', 'the', 'aisles']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['some', 'minor', 'food', 'debris', 'on', 'seats']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['overall', 'passenger', 'comfort', 'was', 'superb']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['passenger', 'comfort', 'was', 'superb']","[1, 2, 0, 0]","[2, 2, -1, -1]"
"['asked', 'for', 'directions', 'received', 'them']","[0, 0, 1, 0, 0]","[-1, -1, 1, -1, -1]"
"['station', 'was', 'easy', 'to', 'navigate']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['waiting', 'hall', 'needed', 'more', 'benches']","[1, 2, 0, 0, 1]","[0, 0, -1, -1, 0]"
"['station', 'was', 'easy', 'to', 'navigate']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['modern', 'station', 'architecture', 'was', 'pleasing']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['abrupt', 'stops', 'made', 'me', 'stumble']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['walkways', 'were', 'wide', 'and', 'unobstructed']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['timely', 'alerts', 'about', 'service', 'issues']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['impressed', 'with', 'the', 'overall', 'station', 'cleanliness']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
"['impressed', 'with', 'the', 'station', 'cleanliness']","[0, 0, 0, 2, 2]","[-1, -1, -1, 2, 2]"
"['escalator', 'made', 'a', 'loud', 'grinding', 'noise']","[1, 0, 0, 0, 0, 1]","[0, -1, -1, -1, -1, 0]"
"['only', 'one', 'ticket', 'machine', 'working']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['poorly', 'lit', 'stairs', 'felt', 'dangerous']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['carriage', 'had', 'a', 'faint', 'musty', 'odor']","[1, 0, 0, 0, 0, 1]","[0, -1, -1, -1, -1, 0]"
"['seat', 'width', 'was', 'perfectly', 'fine']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['ticket', 'scanner', 'was', 'very', 'temperamental']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['escalators', 'had', 'frequent', 'unscheduled', 'stops']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['generally', 'acceptable', 'level', 'of', 'tidiness']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 1]"
"['staff', 'was', 'present', 'but', 'not', 'very', 'engaged']","[1, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1]"
"['staff', 'were', 'very', 'accommodating', 'to', 'needs']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['station', 'had', 'clear', 'assembly', 'points']","[1, 0, 0, 2, 2]","[2, -1, -1, 2, 2]"
"['stairs', 'access', 'was', 'clear']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['safety', 'rules', 'displayed', 'prominently', 'good']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['helpline', 'staff', 'were', 'clearly', 'not', 'interested']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['staff', 'knew', 'all', 'the', 'schedules']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['service', 'desk', 'staff', 'seemed', 'untrained']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['smooth', 'train', 'operation', 'made', 'it', 'relaxing']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['unclear', 'signage', 'for', 'platform', 'changes']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['announcements', 'were', 'inaudible', 'and', 'muffled']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['platform', 'surface', 'was', 'gleaming', 'brightly']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['staff', 'were', 'unhelpful', 'and', 'rather', 'rude']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['serene', 'atmosphere', 'made', 'travel', 'easy']","[0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['seats', 'offered', 'no', 'lumbar', 'relief']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['lift', 'access', 'was', 'conveniently', 'located']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['guards', 'seemed', 'alert', 'and', 'focused']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['vending', 'options', 'were', 'quite', 'limited']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['shops', 'provided', 'good', 'food', 'options']","[1, 0, 0, 1, 2]","[2, -1, -1, 2, 2]"
"['a', 'very', 'dirty', 'window', 'seat']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['train', 'had', 'many', 'sudden', 'jerks']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['escalator', 'jerked', 'to', 'a', 'halt']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['some', 'exposed', 'wiring', 'near', 'the', 'tracks']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['exceptionally', 'clean', 'and', 'bright', 'station', 'hall']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['door', 'sensors', 'malfunctioning', 'sometimes', '.']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['air', 'conditioning', 'level', 'was', 'always', 'optimal']","[1, 2, 2, 0, 0, 0]","[2, 2, 2, -1, -1, -1]"
"['help', 'desk', 'was', 'closed', 'early']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['suspicious', 'individuals', 'loitering', 'near', 'entrance']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['stairs', 'felt', 'narrow', 'and', 'steep']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['floor', 'had', 'a', 'lot', 'of', 'scuff', 'marks']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['platform', 'was', 'swept', 'very', 'recently']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['station', 'was', 'remarkably', 'tidy', '.']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['spotless', 'condition', 'of', 'the', 'escalators']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['cleaning', 'standards', 'seem', 'fine']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['a', 'lot', 'of', 'dust', 'accumulated']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['cctv', 'cameras', 'were', 'clearly', 'visible', 'everywhere']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['very', 'low', 'hygiene', 'standards', 'observed']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['leg', 'room', 'was', 'better', 'than', 'expected']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['well', 'placed', 'warning', 'signs', 'everywhere']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['staff', 'were', 'professional', 'and', 'efficient']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['secure', 'feeling', 'late', 'at', 'night']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['helpful', 'staff', 'showed', 'me', 'the', 'way']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['refund', 'process', 'was', 'overly', 'complicated']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['feedback', 'form', 'was', 'too', 'complicated']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['emergency', 'exit', 'signage', 'was', 'functional']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['attentive', 'and', 'responsive', 'platform', 'crew']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['station', 'toilets', 'were', 'functional', 'not', 'spotless']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['train', 'doors', 'had', 'a', 'very', 'loud', 'alarm']","[1, 2, 0, 0, 0, 1, 2]","[2, 2, -1, -1, -1, 2, 2]"
"['visible', 'security', 'cameras', 'at', 'all', 'exits']","[0, 1, 2, 0, 1, 2]","[-1, 1, 1, -1, 1, 1]"
"['ample', 'space', 'for', 'personal', 'belongings']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['safety', 'measures', 'seem', 'very', 'adequate']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['service', 'desk', 'staff', 'were', 'clueless']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['service', 'staff', 'were', 'clueless']","[1, 2, 0, 0]","[0, 0, -1, -1]"
"['train', 'interior', 'was', 'acceptably', 'clean']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['walkways', 'were', 'average']","[1, 0, 0]","[1, -1, -1]"
"['felt', 'the', 'aircond', 'was', 'too', 'high']","[0, 0, 1, 0, 0, 0]","[-1, -1, 0, -1, -1, -1]"
"['attentive', 'and', 'responsive', 'platform', 'crew']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['new', 'safety', 'barriers', 'are', 'very', 'strong']","[1, 2, 2, 0, 0, 0]","[2, 2, 2, -1, -1, -1]"
"['safety', 'barriers', 'are', 'very', 'strong']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['some', 'dried', 'paint', 'splatters', 'seen']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['water', 'dispenser', 'provided', 'cool', 'water']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['info', 'screens', 'showed', 'wrong', 'times']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['water', 'fountain', 'was', 'broken', 'leaking']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['staff', 'showed', 'great', 'customer', 'service', 'ethic']","[1, 0, 0, 1, 2, 2]","[2, -1, -1, 2, 2, 2]"
"['space', 'inside', 'felt', 'neutral']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['felt', 'the', 'train', 'car', 'shuddering']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['seats', 'offered', 'no', 'lumbar', 'relief']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['emergency', 'exits', 'were', 'partially', 'blocked']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['waste', 'management', 'was', 'handled', 'poorly']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['overall', 'comfort', 'was', 'better', 'than', 'most']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['comfort', 'was', 'better', 'than', 'most']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['emergency', 'exits', 'were', 'easily', 'identifiable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['ticketing', 'problem', 'was', 'resolved', 'very', 'fast']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['maps', 'were', 'confusing', 'and', 'outdated']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['hand', 'sanitizer', 'was', 'always', 'refilled']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['felt', 'too', 'many', 'bumps', 'on', 'track']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['carriage', 'air', 'felt', 'quite', 'stale']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['complaint', 'was', 'resolved', 'to', 'my', 'satisfaction']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['prayer', 'rooms', 'are', 'clean', 'spacious']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'graffiti', 'anywhere', 'on', 'the', 'train']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['useful', 'next', 'train', 'indicators', 'worked']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['some', 'spilled', 'drink', 'on', 'seat']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['very', 'low', 'noise', 'from', 'wheels']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['vending', 'machine', 'was', 'completely', 'empty']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['air', 'conditioning', 'worked', 'just', 'fine']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['information', 'screen', 'visibility', 'was', 'adequate']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['platform', 'screen', 'doors', 'enhanced', 'safety']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['standing', 'room', 'was', 'very', 'cramped']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['escalator', 'remained', 'out', 'of', 'service']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['emergency', 'call', 'buttons', 'were', 'not', 'working']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['a', 'lot', 'of', 'spilled', 'powder']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['some', 'minor', 'litter', 'on', 'floor']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['good', 'climate', 'control', 'throughout', 'journey']","[0, 1, 2, 0, 1]","[-1, 2, 2, -1, 2]"
"['service', 'at', 'the', 'counter', 'was', 'terrible']","[1, 0, 0, 1, 0, 0]","[0, -1, -1, 0, -1, -1]"
"['felt', 'completely', 'unseen', 'by', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['staff', 'knew', 'all', 'the', 'schedules']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['asked', 'for', 'directions', 'received', 'them']","[1, 0, 1, 0, 0]","[1, -1, 1, -1, -1]"
"['children', 'running', 'unsupervised', 'on', 'platform']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['uncomfortable', 'jolts', 'at', 'every', 'station']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['legroom', 'felt', 'a', 'bit', 'restricted']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['clean', 'and', 'well', 'lit', 'waiting', 'halls']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
